date,store,item,sales,forecast
2017-12-01,Furniture,Central,317.058,569.9696
2017-12-02,Furniture,Central,8.752,171.47833
2017-12-03,Furniture,Central,13.592,1896.652
2017-12-08,Furniture,Central,459.92,759.24347
2017-12-09,Furniture,Central,882.648,505.7455
2017-12-11,Furniture,Central,598.1840000000001,555.72076
2017-12-14,Furniture,Central,1299.7,735.1364
2017-12-18,Furniture,Central,99.95,376.56607
2017-12-21,Furniture,Central,15.92,407.94598
2017-12-22,Furniture,Central,2606.01,890.71936
2017-12-28,Furniture,Central,203.1528,389.0787
2017-11-30,Furniture,East,2322.2160000000003,766.912
2017-12-01,Furniture,East,1382.954,447.58572
2017-12-04,Furniture,East,992.782,1711.3019
2017-12-05,Furniture,East,121.58,1123.5109
2017-12-08,Furniture,East,325.024,1044.8555
2017-12-10,Furniture,East,398.8,2230.3887
2017-12-11,Furniture,East,63.686,991.99207
2017-12-13,Furniture,East,287.976,549.62524
2017-12-14,Furniture,East,526.582,619.6944
2017-12-17,Furniture,East,124.36,806.8284
2017-12-18,Furniture,East,1160.8980000000001,704.6006
2017-12-22,Furniture,East,220.98,991.6151
2017-12-23,Furniture,East,209.41,853.98737
2017-12-24,Furniture,East,309.694,1744.0962
2017-12-25,Furniture,East,507.004,372.4392
2017-12-30,Furniture,East,323.136,873.8001
2017-11-30,Furniture,South,1781.682,489.6666
2017-12-02,Furniture,South,701.96,561.98193
2017-12-07,Furniture,South,82.38,507.301
2017-12-10,Furniture,South,33.864,314.1544
2017-12-11,Furniture,South,786.659,523.5633
2017-12-17,Furniture,South,504.9,835.8637
2017-12-22,Furniture,South,1076.916,1593.2828
2017-12-23,Furniture,South,72.704,469.43698
2017-12-24,Furniture,South,232.88,540.9005
2017-12-25,Furniture,South,325.45,1198.7091
2017-12-29,Furniture,South,1767.57,630.7351
2017-11-30,Furniture,West,25.83,513.6861
2017-12-01,Furniture,West,842.28,602.89197
2017-12-02,Furniture,West,2816.792,1793.7596
2017-12-03,Furniture,West,578.248,455.0055
2017-12-05,Furniture,West,199.9,797.0192
2017-12-08,Furniture,West,2583.321,1891.3705
2017-12-09,Furniture,West,1044.585,862.81244
2017-12-10,Furniture,West,1669.6,1478.8673
2017-12-13,Furniture,West,201.04,641.17035
2017-12-14,Furniture,West,26.25,617.92865
2017-12-15,Furniture,West,22.77,2133.8804
2017-12-16,Furniture,West,197.712,544.94415
2017-12-18,Furniture,West,119.833,823.1123
2017-12-19,Furniture,West,115.378,495.91635
2017-12-22,Furniture,West,182.55,752.255
2017-12-24,Furniture,West,850.92,1072.2632
2017-12-28,Furniture,West,348.104,1803.3058
2017-12-29,Furniture,West,563.148,684.3458
2017-11-30,Office Supplies,Central,2.368,310.0774
2017-12-01,Office Supplies,Central,254.488,528.7424
2017-12-02,Office Supplies,Central,306.78000000000003,751.4487
2017-12-03,Office Supplies,Central,10.368,292.33267
2017-12-04,Office Supplies,Central,70.368,254.94556
2017-12-05,Office Supplies,Central,100.34,360.79
2017-12-07,Office Supplies,Central,1909.094,-21.424892
2017-12-08,Office Supplies,Central,1178.33,778.9661
2017-12-09,Office Supplies,Central,424.938,809.85126
2017-12-10,Office Supplies,Central,34.5,16.122356
2017-12-11,Office Supplies,Central,24.44,231.90247
2017-12-14,Office Supplies,Central,95.232,88.90421
2017-12-15,Office Supplies,Central,10.192,255.42949
2017-12-16,Office Supplies,Central,10.8,589.0451
2017-12-17,Office Supplies,Central,127.004,438.3027
2017-12-21,Office Supplies,Central,375.34,415.107
2017-12-22,Office Supplies,Central,978.7199999999999,254.3463
